Word, Count
b'should',12
b'100th',1
b'find',5
b'Should',1
b'compassionate',1
b'center',1
b'else',1
b'thrive',1
b'decisively',1
b'infrastructure',6
b'possible',1
b'prey',1
b'guide',1
b'spent',2
b'Judge',1
b'immediately',1
b'Jamiels',1
b'economic',1
b'Appeals',1
b'world\xe2\x80\x94all',1
b'anywhere',2
b'we',67
b'coverage',2
b'were',7
b'grow',3
b'world\xe2\x80\x94friend',1
b'which',2
b'amounts',1
b'it\xe2\x80\x94that',1
b'acknowledge',1
b'vast',1
b'Navy',1
b'none',1
b'positive',1
b'better',5
b'thereby',1
b'destiny',1
b'drain',1
b'rare',2
b'me',2
b'eliminated',1
b'father',2
b'seen',3
b'burdensome',1
b'third',1
b'degree',1
b'shrink',1
b'fear',1
b'Eisenhower',1
b'65',1
b'memory',1
b'take',4
b'field',1
b'expressing',1
b'best',1
b'ban',2
b'addicted',1
b'requires',1
b'God',3
b'approve',2
b'campaign',1
b'need',6
b'wear',1
b'enforcement',3
b'heeded',1
b'2016',1
b'celebration',2
b'too',6
b'cycle',3
b'times',1
b'replace',1
b'Owens',2
b'rebellion',1
b'leadership',1
b'builders',1
b'Keystone',1
b'mine',1
b'millions',5
b'behind',2
b'double',1
b'surge',1
b'world',13
b'All',1
b'learning\xe2\x80\x94great',1
b'eliminates',1
b'prison',1
b'skilled',1
b'sophomore',1
b'unlimited',1
b'Lockheed',1
b'both',4
b'nothing',2
b'spending',1
b'friends',6
b'That',2
b'society',1
b'outdated',1
b'institutions',1
b'veterans',3
b'magnet',1
b'part',1
b'forgotten',1
b'Their',2
b'throughout',4
b'freeze',1
b'workers\xe2\x80\x94have',1
b'cities',3
b'Organization',1
b'current',3
b'with',32
b'And',19
b'HarleyDavidson',1
b'mission',1
b'harder',1
b'nations',5
b'investment',1
b'Victims',1
b'accomplish',1
b'distant',1
b'John',1
b'enforcing',1
b'optimism',1
